,customer_id,product_id,ppu,order_count,special_price,update_option
319,36,62,6.5,0,TRUE,MANUAL
320,36,98,5.5,0,TRUE,MANUAL
321,36,111,5.0,0,TRUE,MANUAL
322,36,116,1.3,0,TRUE,MANUAL
323,36,126,1.5,0,TRUE,MANUAL
324,36,128,1.95,0,TRUE,MANUAL
325,36,137,1.95,0,TRUE,MANUAL
326,36,165,4.9,0,TRUE,MANUAL
327,36,168,2.85,0,TRUE,MANUAL
328,36,312,6.2,0,TRUE,MANUAL
329,36,346,7.9,0,TRUE,MANUAL
330,36,349,5.8,0,TRUE,MANUAL
331,36,365,8.5,0,TRUE,MANUAL
332,36,379,5.4,0,TRUE,MANUAL
333,36,418,5.9,0,TRUE,MANUAL
334,36,423,5.6,0,TRUE,MANUAL
335,36,430,5.0,0,TRUE,MANUAL
336,36,438,7.5,0,TRUE,MANUAL
337,36,522,3.88,0,TRUE,MANUAL
338,36,545,2.86,0,TRUE,MANUAL
339,36,554,2.86,0,TRUE,MANUAL
340,36,571,24.5,0,TRUE,MANUAL
341,38,23,3.78,0,TRUE,MANUAL
342,38,25,3.98,0,TRUE,MANUAL
343,38,64,2.99,0,TRUE,MANUAL
344,38,68,6.45,0,TRUE,MANUAL
345,38,73,6.2,0,TRUE,MANUAL
346,38,98,5.5,0,TRUE,MANUAL
347,38,111,4.99,0,TRUE,MANUAL
348,38,113,4.75,0,TRUE,MANUAL
349,38,159,1.38,0,TRUE,MANUAL
350,38,168,2.25,0,TRUE,MANUAL
351,38,241,6.2,0,TRUE,MANUAL
352,38,249,5.25,0,TRUE,MANUAL
353,38,254,11.2,0,TRUE,MANUAL
354,38,284,2.0,0,TRUE,MANUAL
355,38,297,4.7,0,TRUE,MANUAL
356,38,355,9.9,0,TRUE,MANUAL
357,38,376,8.2,0,TRUE,MANUAL
358,38,386,9.95,0,TRUE,MANUAL
359,38,397,9.95,0,TRUE,MANUAL
360,38,418,4.5,0,TRUE,MANUAL
361,38,497,4.5,0,TRUE,MANUAL
362,38,507,4.45,0,TRUE,MANUAL
363,38,512,3.85,0,TRUE,MANUAL
364,38,522,3.65,0,TRUE,MANUAL
365,38,534,3.95,0,TRUE,MANUAL
366,38,539,3.4,0,TRUE,MANUAL
367,38,541,4.9,0,TRUE,MANUAL
368,38,553,5.65,0,TRUE,MANUAL
369,38,568,21.5,0,TRUE,MANUAL
370,38,571,21.5,0,TRUE,MANUAL
371,38,591,13.65,0,TRUE,MANUAL
372,38,664,4.95,0,TRUE,MANUAL
373,38,670,6.9,0,TRUE,MANUAL
374,40,23,3.78,0,TRUE,MANUAL
375,40,25,3.98,0,TRUE,MANUAL
376,40,64,3.25,0,TRUE,MANUAL
377,40,73,5.9,0,TRUE,MANUAL
378,40,111,4.95,0,TRUE,MANUAL
379,40,126,1.1,0,TRUE,MANUAL
380,40,138,2.45,0,TRUE,MANUAL
381,40,159,1.45,0,TRUE,MANUAL
382,40,197,3.45,0,TRUE,MANUAL
383,40,241,6.2,0,TRUE,MANUAL
384,40,280,3.68,0,TRUE,MANUAL
385,40,284,1.98,0,TRUE,MANUAL
386,40,297,4.65,0,TRUE,MANUAL
387,40,312,4.8,0,TRUE,MANUAL
388,40,314,5.2,0,TRUE,MANUAL
389,40,363,9.4,0,TRUE,MANUAL
390,40,364,9.6,0,TRUE,MANUAL
391,40,371,1.86,0,TRUE,MANUAL
392,40,390,8.4,0,TRUE,MANUAL
393,40,392,8.4,0,TRUE,MANUAL
394,40,418,4.1,0,TRUE,MANUAL
395,40,522,3.6,0,TRUE,MANUAL
396,40,529,3.85,0,TRUE,MANUAL
397,40,532,3.85,0,TRUE,MANUAL
